Nicht	PTKNEG	nicht
weit	ADJD.Pos	weit
von	APPR	von
der	ART.Dat.Sg.Fem	der
Hauptstadt	NN.Dat.Sg.Fem	Hauptstadt
des	ART.Gen.Sg.Neut	der
Landes	NN.Gen.Sg.Neut	Land
Kohrasan	NE.Nom.Sg.*	Kohrasan
,	$,	,
mitten	ADV	mitten
in	APPR	in
einem	ART.Dat.Sg.Masc	ein
unendlich	ADJD.Pos	unendlich
großen	ADJA.Pos.Dat.Sg.Masc	groß
Walde	NN.Dat.Sg.Masc	Wald
,	$,	,
lag	VVFIN.3.Sg.Past.Ind	liegen
ein	ART.Nom.Sg.Neut	ein
wunderherrliches	ADJA.Pos.Nom.Sg.Neut	wunderherrliches
Schloß	NN.Nom.Sg.Neut	Schloß
,	$,	,
welches	PRELS.Nom.Sg.Neut	welcher
vor	APPR	vor
Jahrtausenden	NN.Dat.Pl.Neut	Jahrtausend
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
der	ART.Gen.Pl.Masc	der
Geister	NN.Gen.Pl.Masc	Geist
hatte	VAFIN.3.Sg.Past.Ind	haben
erbauen	VVINF.Inf	erbauen
laßen	VVINF.Inf	lassen
.	$.	.

