Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einst	ADV	einst
ein	ART.Nom.Sg.Masc	ein
Bettler	NN.Nom.Sg.Masc	Bettler
,	$,	,
der	PRELS.Nom.Sg.Masc	der
bekam	VVFIN.3.Sg.Past.Ind	bekommen
viele	PIAT.Acc.Pl.Neut	vieler
Kinder	NN.Acc.Pl.Neut	Kind
,	$,	,
und	KON	und
wählte	VVFIN.3.Sg.Past.Ind	wählen
immer	ADV	immer
dreißig	CARD	dreißig
Gevattern	NN.Dat.Pl.Neut	Gevatter
zur	APPRART.Dat.Sg.Fem	zu
Taufe	NN.Dat.Sg.Fem	Taufe
,	$,	,
auf	APPR	auf
daß	KOUS	daß
sie	PPER.3.Nom.Pl.Neut	sie
ihn	PPER.3.Acc.Sg.Masc	ihn
beschenkten	VVFIN.3.Pl.Past.Ind	beschenken
,	$,	,
und	KON	und
von	APPR	von
dem	ART.Dat.Sg.Neut	der
Gelde	NN.Dat.Sg.Neut	Geld
lebte	VVFIN.3.Sg.Past.Ind	leben
er	PPER.3.Nom.Sg.Masc	er
dann	ADV	dann
eine	ART.Acc.Sg.Fem	ein
Zeit	NN.Acc.Sg.Fem	Zeit
lang	ADJD.Pos	lang
mit	APPR	mit
seiner	PPOSAT.Dat.Sg.Fem	sein
Frau	NN.Dat.Sg.Fem	Frau
herrlich	ADJD.Pos	herrlich
und	KON	und
in	APPR	in
Freuden	NN.Dat.Pl.Fem	Freude
,	$,	,
Zuletzt	ADV	zuletzt
aber	ADV	aber
brachte	VVFIN.3.Sg.Past.Ind	bringen
seine	PPOSAT.Nom.Sg.Fem	sein
Frau	NN.Acc.Sg.Fem	Frau
noch	ADV	noch
einen	ART.Acc.Sg.Masc	ein
Sohn	NN.Acc.Sg.Masc	Sohn
zur	APPRART.Dat.Sg.Fem	zu
Welt	NN.Dat.Sg.Fem	Welt
,	$,	,
und	KON	und
weil	KOUS	weil
schon	ADV	schon
alle	PIAT.Nom.Pl.*	aller
Leute	NN.Nom.Pl.*	Leute
in	APPR	in
der	ART.Dat.Sg.Fem	der
Hütte	NN.Dat.Sg.Fem	Hütte
des	ART.Gen.Sg.Masc	der
Bettlers	NN.Gen.Sg.Masc	Bettler
Gevatter	NE.Nom.Sg.Masc	Gevatter
gestanden	VVPP.Psp	gestehen
hatten	VAFIN.3.Pl.Past.Ind	haben
,	$,	,
so	ADV	so
wußte	VVFIN.3.Sg.Past.Ind	wissen
er	PPER.3.Nom.Sg.Masc	er
für	APPR	für
dies	PDAT.Acc.Sg.Neut	dieser
Kind	NN.Acc.Sg.Neut	Kind
keinen	PIAT.Acc.Sg.Masc	kein
Pathen	NN.Acc.Sg.Masc	Pathen
mehr	PIS.*.*.*	mehr
als	KOKOM	als
seine	PPOSAT.Acc.Pl.*	sein
armen	ADJA.Pos.Nom.Pl.*	arm
Verwandten	NN.Acc.Pl.*	Verwandte
,	$,	,
die	PRELS.Nom.Pl.*	der
ihm	PPER.3.Dat.Sg.*	ihm
nichts	PIS.*.*.Neut	nichts
schenken	VVINF.Inf	schenken
konnten	VMFIN.3.Pl.Past.Ind	können
.	$.	.

