Ein	ART.Nom.Sg.Masc	ein
Vater	NN.Nom.Sg.Masc	Vater
war	VAFIN.3.Sg.Past.Ind	sein
krank	ADJD.Pos	krank
und	KON	und
sagte	VVFIN.3.Sg.Past.Ind	sagen
zu	APPR	zu
seinen	PPOSAT.Dat.Pl.Fem	sein
drei	CARD	drei
Töchtern	NN.Dat.Pl.Fem	Tochter
:	$.	:
"	$(	"
Im	APPRART.Dat.Sg.Masc	in
Brunnen	NN.Dat.Sg.Masc	Brunnen
am	APPRART.Dat.Sg.Masc	an
Walde	NN.Dat.Sg.Masc	Wald
ist	VAFIN.3.Sg.Pres.Ind	sein
gut	ADJD.Pos	gut
Wasser	NN.Nom.Sg.Neut	Wasser
,	$,	,
holet	VVFIN.3.Sg.Pres.Ind	holen
mir	PPER.1.Dat.Sg.*	mir
davon	PROAV	davon
,	$,	,
daß	KOUS	daß
ich	PPER.1.Nom.Sg.*	ich
gesunde	VVFIN.1.Sg.Pres.Ind	gesunden
.	$.	.
"	$(	"

