Zwei	CARD	zwei
Leute	NN.Nom.Pl.*	Leute
hatten	VAFIN.3.Pl.Past.Ind	haben
lange	ADJA.Pos.Acc.Sg.Fem	lang
Zeit	NN.Acc.Sg.Fem	Zeit
glücklich	ADJD.Pos	glücklich
gelebt	VVPP.Psp	leben
,	$,	,
doch	KON	doch
geriethen	VVFIN.3.Pl.Pres.Ind	geriethen
sie	PPER.3.Nom.Pl.*	sie
mit	APPR	mit
einander	ADV	einander
einmal	ADV	einmal
in	APPR	in
Streit	NN.Dat.Sg.Masc	Streit
,	$,	,
und	KON	und
dabei	PROAV	dabei
wünschte	VVFIN.3.Sg.Past.Ind	wünschen
der	ART.Nom.Sg.Masc	der
Mann	NN.Nom.Sg.Masc	Mann
der	ART.Gen.Sg.Fem	der
Frau	NN.Gen.Sg.Fem	Frau
einen	ART.Acc.Sg.Masc	ein
Zaunigel	NN.Acc.Sg.Masc	Zaunigel
,	$,	,
das	PDS.Nom.Sg.Neut	der
ist	VAFIN.3.Sg.Pres.Ind	sein
ein	ART.Nom.Sg.Neut	ein
Stachelschwein	NN.Nom.Sg.Neut	Stachelschwein
.	$.	.

