Unweit	ADJD.Pos	unweit
des	ART.Gen.Sg.Masc	der
Fichtelberges	NN.Gen.Sg.Masc	Fichtelberg
,	$,	,
an	APPR	an
der	ART.Dat.Sg.Fem	der
böhmischen	ADJA.Pos.Dat.Sg.Fem	böhmisch
Grenze	NN.Dat.Sg.Fem	Grenze
,	$,	,
lebte	VVFIN.3.Sg.Past.Ind	leben
zu	APPR	zu
Kaiser	NN.Nom.Sg.Masc	Kaiser
Heinrich	NE.Nom.Sg.Masc	Heinrich
des	ART.Gen.Sg.Masc	der
Vierten	ADJA.Pos.Dat.Pl.Fem	vierter
Zeiten	NN.Dat.Pl.Fem	Zeit
ein	ART.Nom.Sg.Masc	ein
wackrer	ADJA.Pos.Nom.Sg.Masc	wackrer
Kriegsmann	NN.Nom.Sg.Masc	Kriegsmann
,	$,	,
mit	APPR	mit
Namen	NN.Dat.Pl.Masc	Name
Egger	NE.Nom.Sg.Masc	Egger
Genebald	NE.Dat.Sg.Masc	Genebald
,	$,	,
auf	APPR	auf
seinem	PPOSAT.Dat.Sg.Neut	sein
Lehn	NN.Dat.Sg.Masc	Lehn
,	$,	,
das	PRELS.Nom.Sg.Neut	der
ihm	PPER.3.Dat.Sg.Masc	ihm
für	APPR	für
den	ART.Acc.Sg.Masc	der
welschen	ADJA.Pos.Acc.Sg.Masc	welsch
Heerszug	NN.Acc.Sg.Masc	Heerszug
zuteil	PTKVZ	zuteil
ward	VAFIN.3.Sg.Past.Ind	werden
,	$,	,
hatte	VAFIN.3.Sg.Past.Ind	haben
im	APPRART.Dat.Sg.Masc	in
Dienst	NN.Dat.Sg.Masc	Dienst
des	ART.Gen.Sg.Masc	der
Kaisers	NN.Gen.Sg.Masc	Kaiser
viel	PIAT.*.*.*	viel
Städte	NN.Acc.Pl.Fem	Stadt
und	KON	und
Flecken	NN.Acc.Pl.Masc	Flecken
geplündert	VVPP.Psp	plündern
,	$,	,
und	KON	und
großes	ADJA.Pos.Acc.Sg.Neut	große
Gut	NN.Acc.Sg.Neut	Gut
erbeutet	VVPP.Psp	erbeuten
,	$,	,
davon	PROAV	davon
er	PPER.3.Nom.Sg.Masc	er
drei	CARD	drei
Raubschlösser	NN.Acc.Pl.Neut	Raubschloß
erbauete	VVFIN.3.Sg.Past.Ind	erbauen
,	$,	,
in	APPR	in
einem	ART.Dat.Sg.Masc	ein
düstern	ADJA.Pos.Dat.Sg.Masc	düstern
Walde	NN.Dat.Sg.Masc	Wald
;	$.	;
Klausenburg	NE.Nom.Sg.Neut	Klausenburg
auf	APPR	auf
der	ART.Dat.Sg.Fem	der
Höhe	NN.Dat.Sg.Fem	Höhe
,	$,	,
Gottendorf	NE.Dat.Sg.Neut	Gottendorf
im	APPRART.Dat.Sg.Neut	in
Tal	NN.Dat.Sg.Neut	Tal
,	$,	,
und	KON	und
Salenstein	NE.Dat.Sg.*	Salenstein
am	APPRART.Dat.Sg.Masc	an
Flusse	NN.Dat.Sg.Masc	Fluß
.	$.	.

