Zwei	CARD	zwei
blutarme	ADJA.Pos.Nom.Pl.*	blutarm
Leute	NN.Nom.Pl.*	Leute
hatten	VAFIN.3.Pl.Past.Ind	haben
ein	ART.Acc.Sg.Neut	ein
Kind	NN.Acc.Sg.Neut	Kind
,	$,	,
das	PDS.Nom.Sg.Neut	der
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Neut	ein
Knäbchen	NN.Nom.Sg.Neut	Knäbchen
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
gar	ADV	gar
schön	ADJD.Pos	schön
und	KON	und
gut	ADJD.Pos	gut
,	$,	,
so	ADV	so
daß	KOUS	daß
sie	PPER.3.Nom.Pl.*	sie
ihre	PPOSAT.Acc.Sg.Fem	ihr
größte	ADJA.Sup.Acc.Sg.Fem	groß
Freude	NN.Acc.Sg.Fem	Freude
an	APPR	an
ihm	PPER.3.Dat.Sg.Neut	ihm
erlebten	VVFIN.3.Pl.Past.Ind	erleben
.	$.	.

