Als	KOUS	als
unser	PPOSAT.Nom.Sg.Masc	unser
lieber	ADJA.Pos.Nom.Sg.Masc	lieber
Herr	NN.Nom.Sg.Masc	Herr
und	KON	und
Heiland	NN.Nom.Sg.Masc	Heiland
noch	ADV	noch
auf	APPR	auf
Erden	NN.Dat.Sg.Fem	Erde
wandelte	VVFIN.3.Sg.Past.Ind	wandeln
,	$,	,
von	APPR	von
einer	ART.Dat.Sg.Fem	ein
Stadt	NN.Dat.Sg.Fem	Stadt
zur	APPRART.Dat.Sg.Fem	zu
andern	ADJA.Pos.Dat.Sg.Fem	anderer
,	$,	,
das	ART.Acc.Sg.Neut	der
Evangelium	NN.Acc.Sg.Neut	Evangelium
predigte	VVFIN.3.Sg.Past.Ind	predigen
und	KON	und
viele	PIAT.Acc.Pl.Neut	vieler
Zeichen	NN.Acc.Pl.Neut	Zeichen
tat	VVFIN.3.Sg.Past.Ind	tun
,	$,	,
kam	VVFIN.3.Sg.Past.Ind	kommen
zu	APPR	zu
ihm	PPER.3.Dat.Sg.Masc	ihm
auf	APPR	auf
eine	ART.Acc.Sg.Fem	ein
Zeit	NN.Acc.Sg.Fem	Zeit
ein	ART.Nom.Sg.Masc	ein
guter	ADJA.Pos.Nom.Sg.Masc	guter
einfältiger	ADJA.Pos.Nom.Sg.Masc	einfältiger
Schwab	NN.Nom.Sg.Masc	Schwab
,	$,	,
und	KON	und
fragte	VVFIN.3.Sg.Past.Ind	fragen
ihn	PPER.3.Acc.Sg.Masc	ihn
:	$.	:
»	XY	»
Mein	PPOSAT.Nom.Sg.Masc	mein
Leiden-Gesell	NN.Nom.Sg.Masc	Leiden-Gesell
,	$,	,
wo	PWAV	wo
willt	VMFIN.2.Sg.Pres.Ind	wollen
du	PPER.2.Nom.Sg.*	du
hin	PTKVZ	hin
?	$.	?

«	XY	«

