Wer	PWS.Nom.Sg.Masc	wer
durch	APPR	durch
Schwaben	NN.Acc.Pl.Masc	Schwabe
reist	VVFIN.3.Sg.Pres.Ind	reisen
,	$,	,
der	PDS.Nom.Sg.Masc	der
sollte	VMFIN.3.Sg.Past.Ind	sollen
nie	ADV	nie
vergessen	VVINF.Inf	vergessen
,	$,	,
auch	ADV	auch
ein	ART.*.*.*	ein
wenig	PIS.*.*.*	wenig
in	APPR	in
den	ART.Acc.Sg.Masc	der
Schwarzwald	NE.Acc.Sg.Masc	Schwarzwald
hineinzuschauen	VVIZU.Infzu	hineinschauen
;	$.	;
nicht	PTKNEG	nicht
der	ART.Gen.Pl.Masc	der
Bäume	NN.Nom.Sg.Masc	Bäume
wegen	APPO.Gen	wegen
,	$,	,
obgleich	KOUS	obgleich
man	PIS.Nom.Sg.*	man
nicht	PTKNEG	nicht
überall	ADV	überall
solch	PIAT.*.*.*	solch
unermeßliche	ADJA.Pos.Acc.Sg.Fem	unermeßliche
Menge	NN.Acc.Sg.Fem	Menge
herrlich	ADJD.Pos	herrlich
aufgeschossener	ADJA.Pos.Gen.Pl.Fem	aufgeschossen
Tannen	NN.Gen.Pl.Fem	Tanne
findet	VVFIN.3.Sg.Pres.Ind	finden
,	$,	,
sondern	KON	sondern
wegen	APPR	wegen
der	ART.Gen.Pl.*	der
Leute	NN.Gen.Pl.*	Leute
,	$,	,
die	PRELS.Nom.Pl.*	der
sich	PRF.3.Acc.Pl	sich
von	APPR	von
den	ART.Dat.Pl.Masc	der
andern	ADJA.Pos.Dat.Pl.Masc	anderer
Menschen	NN.Dat.Pl.Masc	Mensch
ringsumher	ADJD.Comp	ringsumh
merkwürdig	ADJD.Pos	merkwürdig
unterscheiden	VVFIN.3.Pl.Pres.Ind	unterscheiden
.	$.	.

