Zwei	CARD	zwei
Freunde	NN.Nom.Pl.Masc	Freund
in	APPR	in
Bagdad	NE.Dat.Sg.Neut	Bagdad
hatten	VAFIN.3.Pl.Past.Ind	haben
ihren	PPOSAT.Acc.Sg.Masc	ihr
ewigen	ADJA.Pos.Acc.Sg.Masc	ewig
Streit	NN.Acc.Sg.Masc	Streit
,	$,	,
wie	PWAV	wie
man	PIS.Nom.Sg.*	man
zu	APPR	zu
Geld	NN.Dat.Sg.Neut	Geld
und	KON	und
Gut	NN.Dat.Sg.Neut	Gut
kommen	VVINF.Inf	kommen
könne	VMFIN.3.Sg.Pres.Subj	können
,	$,	,
und	KON	und
ob	KOUS	ob
das	PDS.Nom.Sg.Neut	der
wohl	ADV	wohl
ein	ART.Nom.Sg.Masc	ein
sehr	ADV	sehr
überflüssiger	ADJA.Pos.Nom.Sg.Masc	überflüssiger
Streit	NN.Nom.Sg.Masc	Streit
sein	VAINF.Inf	sein
mochte	VVFIN.3.Sg.Past.Ind	mögen
,	$,	,
so	ADV	so
wollte	VMFIN.3.Sg.Past.Ind	wollen
doch	ADV	doch
keiner	PIS.Nom.Sg.Masc	keiner
dem	ART.Dat.Sg.Neut	der
andern	PIS.Dat.Sg.Masc	anderer
nachgeben	VVINF.Inf	nachgeben
.	$.	.

