Es	PPER.3.Nom.Sg.Neut	es
ist	VAFIN.3.Sg.Pres.Ind	sein
nicht	PTKNEG	nicht
gut	ADJD.Pos	gut
Furchtsame	NN.Acc.Pl.*	Furchtsame
zu	PTKZU	zu
ängstigen	VVINF.Inf	ängstigen
und	KON	und
zu	PTKZU	zu
necken	VVINF.Inf	necken
,	$,	,
denn	KON	denn
sehr	ADV	sehr
oft	ADV	oft
schon	ADV	schon
haben	VAFIN.3.Pl.Pres.Ind	haben
Schreck	NN.Nom.Sg.Masc	Schreck
und	KON	und
Entsetzen	NN.Nom.Sg.Neut	Entsetzen
den	ART.Acc.Sg.Masc	der
traurigsten	ADJA.Sup.Acc.Sg.Masc	traurig
Einfluß	NN.Acc.Sg.Masc	Einfluß
auf	APPR	auf
die	ART.Acc.Sg.Fem	der
Gesundheit	NN.Acc.Sg.Fem	Gesundheit
,	$,	,
ja	ADV	ja
selbst	ADV	selbst
auf	APPR	auf
das	ART.Acc.Sg.Neut	der
Leben	NN.Acc.Sg.Neut	Leben
furchtsamer	ADJA.Pos.Gen.Pl.Fem	furchtsam
Personen	NN.Gen.Pl.Fem	Person
gehabt	VAPP.Psp	haben
;	$.	;
und	KON	und
viele	PIAT.Nom.Pl.Neut	vieler
Beispiele	NN.Acc.Pl.Neut	Beispiel
beweisen	VVFIN.3.Pl.Pres.Ind	beweisen
,	$,	,
daß	KOUS	daß
zu	PTKA	zu
große	ADJA.Pos.Acc.Sg.Fem	groß
Furcht	NN.Nom.Sg.Fem	Furcht
auf	APPR	auf
der	ART.Dat.Sg.Fem	der
Stelle	NN.Dat.Sg.Fem	Stelle
tödten	VVINF.Inf	tödten
kann	VMFIN.3.Sg.Pres.Ind	können
.	$.	.

