Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
Mann	NN.Nom.Sg.Masc	Mann
,	$,	,
dem	PRELS.Dat.Sg.Masc	der
starb	VVFIN.3.Sg.Past.Ind	sterben
seine	PPOSAT.Nom.Sg.Fem	sein
Frau	NN.Nom.Sg.Fem	Frau
,	$,	,
und	KON	und
eine	ART.Nom.Sg.Fem	ein
Frau	NN.Nom.Sg.Fem	Frau
,	$,	,
der	PDS.Nom.Sg.Masc	der
starb	VVFIN.3.Sg.Past.Ind	sterben
ihr	PPOSAT.Nom.Sg.Masc	ihr
Mann	NN.Nom.Sg.Masc	Mann
;	$.	;
und	KON	und
der	ART.Nom.Sg.Masc	der
Mann	NN.Nom.Sg.Masc	Mann
hatte	VAFIN.3.Sg.Past.Ind	haben
eine	ART.Acc.Sg.Fem	ein
Tochter	NN.Acc.Sg.Fem	Tochter
,	$,	,
und	KON	und
die	ART.Nom.Sg.Fem	der
Frau	NN.Nom.Sg.Fem	Frau
hatte	VAFIN.3.Sg.Past.Ind	haben
auch	ADV	auch
eine	ART.Acc.Sg.Fem	ein
Tochter	NN.Acc.Sg.Fem	Tochter
.	$.	.

