Drei	CARD	drei
Feldscherer	NN.Nom.Pl.Masc	Feldscherer
reisten	VVFIN.3.Pl.Past.Ind	reisen
in	APPR	in
der	ART.Dat.Sg.Fem	der
Welt	NN.Dat.Sg.Fem	Welt
,	$,	,
meinten	VVFIN.3.Pl.Past.Ind	meinen
ihre	PPOSAT.Acc.Sg.Fem	ihr
Kunst	NN.Acc.Sg.Fem	Kunst
ausgelernt	VVPP.Psp	auslernen
zu	PTKZU	zu
haben	VAINF.Inf	haben
und	KON	und
kamen	VVFIN.3.Pl.Past.Ind	kommen
in	APPR	in
ein	ART.Acc.Sg.Neut	ein
Wirthshaus	NN.Acc.Sg.Neut	Wirthshaus
,	$,	,
wo	PWAV	wo
sie	PPER.3.Nom.Pl.Masc	sie
übernachten	VVINF.Inf	übernachten
wollten	VMFIN.3.Pl.Past.Ind	wollen
.	$.	.

